Input,Factors
55,5;11
85,5;17
169,13;13
275,5;5;11
779,19;41
1271,31;41
3737,37;101
7379,47;157
13289,97;137
27857,89;313
62857,239;263
111343,23;47;103
135169,29;59;79
343487,389;883
835781,877;953
1268699,71;107;167
3414841,17;37;61;89
8118989,1109;7321
15868351,149;281;379
26010311,179;331;439
55818863,4861;11483
77088283,233;373;887
178597589,71;71;71;499
452798453,71;101;233;271
1003954967,1003954967
2039538691,30911;65981
2639856253,733;947;3803
6797606549,157;197;271;811
14891737001,69151;215351
32376854717,82903;390539
42090624179,163561;257339
82575721939,143243;576473
262392705061,506533;518017
286514610097,284651;1006547
971951993923,647303;1501541
1646550567377,767623;2144999
3403953245543,1658807;2052049
5368407867919,1738621;3087739
15251649836309,3735541;4082849
29741031950783,2712329;10965127
35193788441179,4669549;7536871
137810622175711,8306609;16590479
168572527331063,12751049;13220287
384160898836529,8695879;44177351
953256466876157,21800321;43726717
2037671991129457,23347417;87276121
4268084382942221,36037829;118433449
7884056240824943,45720473;172440391
9705727417356601,116969;212183;391063
24837677531181667,133717;319343;581657
71680881484450033,185021147;387419939
89581849919112157,195655147;457855831
195376496743752659,441552193;442476563
553618274006830969,278753441;1986050009
998547889339705819,566971;979031;1798919
1585941090609035047,897473;905693;1951123
3345569280173505337,1821667633;1836542089
6215264027227750141,1570877281;3956556061
12750900537316952953,2875791463;4433875231
29918393324344732309,2514187679;11899824971
41387583680098561559,4835628373;8558884283
135965758816897179631,5309161441;25609648591
157022265456778678057,9761926253;16085172269
543089834817680407921,9866709289;55042650889
845612209365947808511,27523965929;30722760359
1215119145650334097669,27279705127;44542972147
2577433668250037587219,48593330369;53040893651
6144906495559724821847,54435903871;112883337257
17676807389093909506123,85913999071;205750024213
23399630531480924028353,92287735367;253550815159
52086716643959417732953,144783206549;359756617397
99360040183107798350393,270220112501;367700387893
246685731128980982090821,298620522961;826084318261
311528853571461228884971,52277851;60855791;97921631
636923170741876502842283,673676176339;945444106697
1921140840721237218613037,816703100537;2352312412501
4236602126433178727754143,2010429981403;2107311453581
9357825339441965577968167,2001492574943;4675423459769
11786332229102101145118559,3283116092327;3589983387017
24077469516382820567411651,3250444877423;7407438189037
72588888091075716155528543,248418211;368265671;793460803
117065450351616368941179521,5748372662693;20364972353197
248674022213346810253824187,10817746884911;22987598513717
581289797761242784690249217,16807475044669;34585194755093
910313656328519450820341989,28760640972827;31651368868607
2334861228566887667876887187,760894223;760894223;4032854003
2742414971357923699736309911,799937837;1330614107;2576468329
6453072997502382244657848137,1367271517;1434971467;3289035383
10511772447406078616597574449,1660615681;1886428679;3355570951
30334054211511225235666819537,95995114710757;315995811900541
56684218526521505220531240247,2346052847;3223887847;7494530783
98889226721618459930614281719,14000477;15043949;16738669;28049387
253254595392311983559167246169,302959936137059;835934277718291
431806025231615807205429339059,4302756629;8486734301;11825004371
775815978854559807581593993801,765245134821899;1013813670354299
2243514438085212308950680733799,4309404181;20382157981;25542386759
4260060338026208187445748616749,1281095692138729;3325325628809381
5899946252472889152040335074693,16785563;20166229;120125437;145095007
19678165901145235927488712180747,47939743;52857599;78234361;99262211
24974434291114475560497641508659,22608052393;22608052393;48861788291
44335660977822600299677415892491,23662174021;37123936519;50471303609
145022304658503634107765292927877,7222352854393679;20079648222985963
265488337730920478518816449089633,10894891338251329;24368149207583777
410480832483375178833664047498127,10855302531965663;37813854682965329
745014578751813063619209103164229,24511514166676679;30394473947458451
1866628939729729264884915484770199,29556055000565017;63155551026483247
3643475312283260924458295803666459,38050863837291559;95752762088741101
6796809853648283777803014045038893,49594136033759507;137048659321771199
19552004483167530774733989981303613,82801756663681621;236130310164583753
32171440944085218744795362740779539,153562851829;306340484323;683880073517
49634069414400585021725112719215111,168816045942979403;294012747053472437
137795442750628357084434791538190327,192004913242695557;717666232720065611
299907327612456712066877923414516169,546488509270798687;548789814469539287
337116901383104903981395360320814277,541652511945625097;622385928151934941
803951167823260892749698752490088411,884066811202174949;909378293174504639
1542203187695430133089756092872987571,775329971281;946063278283;2102494355177
3503493574384421516875085905912989217,591528629191;2316928603189;2556306389083
5454594328401208326965181286617992959,11160089;19332493;21345277;23200897;51050543
12440283234605373409064355108764693437,3414357443848173341;3643521054604193057
28214518856728570586531001643955422501,3933269840819908601;7173298552749973901
45075059309725788367595628977629138411,2489329360423;2586823110881;6999825492797
144845569882618223332265035745275831183,8368016852839619779;17309426167499415877
221331024823510427617860262232563022207,2730573429173;2730573429173;29684830620983
383769197475670989079301192831375202661,15119824359718453451;25381855525920749711
1063388809999442829387087910644902445239,27454049816587764661;38733404255606115899
2475006346843482187837521589950709482689,26811383057838976819;92311774499072412731
3645150994282265739821245590060208479977,9693748519921;11976907357307;31396344360091
5653152863742628074174423141748044195601,6430334791;7251477397;10742798509;11285302807
11455842194237878588595176215334447044041,90305255733517166929;126856871188572423929
42593785192075307161436788419251709319903,28434060513641;32922281484601;45500632017983
66792488633746578695275354847443702975411,186970438690431484421;357235556067424431191
122424311280183579071235066356623563460193,30683766547549;34119610614503;116937803893219
284178822852338251817620753223192141923729,444976179704557085617;638638281808746272737
690040703112145993580867154442032883533211,52141513859737;104913084565711;126142495034173
871705115460427238411563484532670942360321,53741735809499;62853062348579;258066399440401
1751832886979668702453924550084295462540529,60271640662169;136728815188463;212578633484407
3129059016877672977133748382732856120250323,1539824237013602428027;2032088430395339751049
10301771139491350835303179891288064932246739,2130231392483693169299;4835986914773724730561
15901563097714645719480799739977189829509873,2833456990026427992917;5612071456770667245869
25261644426713274982490443068799585485416209,4699332227808571829369;5375581721425445206361
84343231159669204423847921700232558351137689,5415477548475797482117;15574477117610405690117
118420565695105192161430032031511139538789487,228665382259603;548116322120291;944830653616519
250105146920460580180769524392395377015204447,11327932321574394883103;22078622984366498150849
581247387533633662740074693053905050372065349,14557965970053100539247;39926414770394847171467
1380205884219947145432276015794695543666780009,1027242065515321;1084813385781649;1238557129957921
1662263163122261924061007880036956415507945563,28309884528861420907277;58716705870969355654919
4713705488363487866882073710089954493005881623,918240852637151;1973626811633149;2601002665842877
7039811828581093234447979880001644481916650021,49965004343786169139321;140894850726788538866701
11921338766456447873573249483810864719828178071,93114552125606830721269;128028739808307982032859
