Inputs from 60-bit to 160-bit was generated by GMP, tests performed during development on a single core OVH-cloud-amd64 server.

| 60 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                    ./qs 836858951270212201 |   130 ms | 2             |
|                                                                   ./qs 1093822396116443717 |    66 ms | 2             |
|                                                                   ./qs 1077302032270702603 |    47 ms | 2             |
|                                                                    ./qs 910642768738940969 |    38 ms | 2             |
|                                                                    ./qs 843932623467001781 |    31 ms | 2             |
|                                                                    ./qs 666265929544236239 |    37 ms | 2             |
|                                                                   ./qs 1114922406029681771 |    47 ms | 2             |
|                                                                   ./qs 1050610616519435827 |    42 ms | 2             |
|                                                                    ./qs 799182030673835929 |    37 ms | 2             |
|                                                                    ./qs 796221317188430851 |    39 ms | 2             |
|                                                                    ./qs 896831929369201493 |    35 ms | 2             |
|                                                                    ./qs 928631532120884071 |    34 ms | 2             |
|                                                                    ./qs 899891094067504193 |    33 ms | 2             |
|                                                                    ./qs 783134461946760233 |    31 ms | 2             |
|                                                                    ./qs 773076459806043517 |    38 ms | 2             |
|                                                                    ./qs 870325292179202837 |    36 ms | 2             |
|                                                                    ./qs 888344573248989173 |    34 ms | 2             |
|                                                                    ./qs 669343565290856389 |    33 ms | 2             |
|                                                                   ./qs 1119546426144317461 |    31 ms | 2             |
|                                                                   ./qs 1149523289564450267 |    30 ms | 2             |


| 61 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                   ./qs 1504194969704132623 |     4 ms | 2             |
|                                                                   ./qs 1455079157510034169 |    27 ms | 2             |
|                                                                   ./qs 1359533290214476621 |    20 ms | 2             |
|                                                                   ./qs 1531574866548336637 |    17 ms | 2             |
|                                                                   ./qs 1168687287117307367 |    14 ms | 2             |
|                                                                   ./qs 1585206515915478941 |    13 ms | 2             |
|                                                                   ./qs 1883685274966535671 |    12 ms | 2             |
|                                                                   ./qs 1691334821298752629 |    11 ms | 2             |
|                                                                   ./qs 1666642557673924483 |    10 ms | 2             |
|                                                                   ./qs 1336968767302284839 |     9 ms | 2             |
|                                                                   ./qs 1417296333669333311 |     9 ms | 2             |
|                                                                   ./qs 2013314152885396541 |    11 ms | 2             |
|                                                                   ./qs 1524992098162588417 |    14 ms | 2             |
|                                                                   ./qs 1913976589264619273 |    14 ms | 2             |
|                                                                   ./qs 1473765161225171863 |    13 ms | 2             |
|                                                                   ./qs 2190408899575269929 |    13 ms | 2             |
|                                                                   ./qs 1441075033790935519 |    12 ms | 2             |
|                                                                   ./qs 1502030205271474031 |    12 ms | 2             |
|                                                                   ./qs 1963464733907631463 |    12 ms | 2             |
|                                                                   ./qs 1662280448600602981 |    12 ms | 2             |


| 62 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                   ./qs 4135832984803948801 |     3 ms | 2             |
|                                                                   ./qs 2580588531586756003 |     3 ms | 2             |
|                                                                   ./qs 3070052441718145841 |    61 ms | 2             |
|                                                                   ./qs 2768646220215270337 |    47 ms | 2             |
|                                                                   ./qs 3651612961678391797 |    40 ms | 2             |
|                                                                   ./qs 3495076762988940893 |    41 ms | 2             |
|                                                                   ./qs 3253767705914268427 |    36 ms | 2             |
|                                                                   ./qs 2574990590953959617 |    32 ms | 2             |
|                                                                   ./qs 4394335134826881091 |    32 ms | 2             |
|                                                                   ./qs 2925773503249476377 |    29 ms | 2             |
|                                                                   ./qs 4164270402669122033 |    27 ms | 2             |
|                                                                   ./qs 4212631568181289291 |    25 ms | 2             |
|                                                                   ./qs 2572443290626719017 |    24 ms | 2             |
|                                                                   ./qs 3759229105413261457 |    25 ms | 2             |
|                                                                   ./qs 2986722393656001059 |    24 ms | 2             |
|                                                                   ./qs 4200299141465399969 |    22 ms | 2             |
|                                                                   ./qs 3349567152656351813 |    23 ms | 2             |
|                                                                   ./qs 2539134964232007311 |    25 ms | 2             |
|                                                                   ./qs 4095140406536022661 |    24 ms | 2             |
|                                                                   ./qs 3176285080322777131 |    29 ms | 2             |


| 63 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                   ./qs 6203546369488796179 |     3 ms | 2             |
|                                                                   ./qs 7250670494601099193 |    33 ms | 2             |
|                                                                   ./qs 9161969869612617017 |    23 ms | 2             |
|                                                                   ./qs 5537923173534766649 |    19 ms | 2             |
|                                                                   ./qs 6932547910866649837 |    16 ms | 2             |
|                                                                   ./qs 5412093684855357991 |    13 ms | 2             |
|                                                                   ./qs 9160801088015792627 |    12 ms | 2             |
|                                                                   ./qs 6629879937660064801 |    14 ms | 2             |
|                                                                   ./qs 6568215019022925953 |    26 ms | 2             |
|                                                                   ./qs 8040234986988539537 |    24 ms | 2             |
|                                                                   ./qs 6819239063121211861 |    23 ms | 2             |
|                                                                   ./qs 8300758391769793049 |    21 ms | 2             |
|                                                                   ./qs 5899736241188797951 |    21 ms | 2             |
|                                                                   ./qs 5898461480999044267 |    19 ms | 2             |
|                                                                   ./qs 6599094419902825627 |    18 ms | 2             |
|                                                                   ./qs 8248495191417342677 |    17 ms | 2             |
|                                                                   ./qs 9026641285283520557 |    16 ms | 2             |
|                                                                   ./qs 5510933992450812551 |    16 ms | 2             |
|                                                                   ./qs 6819928915446392831 |    16 ms | 2             |
|                                                                   ./qs 9124797821717872501 |    15 ms | 2             |


| 64 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                  ./qs 12278662759598259319 |     3 ms | 2             |
|                                                                   ./qs 9585386575671701099 |     3 ms | 2             |
|                                                                  ./qs 12477469655106166897 |     3 ms | 2             |
|                                                                  ./qs 16452981600856933933 |    15 ms | 2             |
|                                                                  ./qs 15107983903805460331 |    14 ms | 2             |
|                                                                  ./qs 13560944474530493597 |    12 ms | 2             |
|                                                                  ./qs 18051355688584694291 |    11 ms | 2             |
|                                                                  ./qs 17169570787361401459 |    11 ms | 2             |
|                                                                  ./qs 12133630851118522847 |    10 ms | 2             |
|                                                                  ./qs 13218992076565195031 |    10 ms | 2             |
|                                                                  ./qs 17818252211051041777 |    33 ms | 2             |
|                                                                  ./qs 18302663291367299261 |    31 ms | 2             |
|                                                                  ./qs 17750625120140001569 |    29 ms | 2             |
|                                                                  ./qs 10556143717925322809 |    27 ms | 2             |
|                                                                   ./qs 9633841440144405623 |    29 ms | 2             |
