Inputs from 160-bit to 210-bit was generated by GMP, tests performed during development on a single core OVH-cloud-amd64 server.

| 160 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                     ./qs 1431923736499636064996084645072874480138939146881 |   912 ms | 2             |
|                                     ./qs 1255463948594733677961358409691194353693377693859 |   914 ms | 2             |
|                                     ./qs 1386096270161908312742134487559216975970684830383 |   885 ms | 2             |
|                                      ./qs 886297067289627105615419441108701983352937843203 |   882 ms | 2             |
|                                     ./qs 1251637435223581317250850836074824916545103086783 |   906 ms | 6             |
|                                     ./qs 1046712470157600139412551828909203347206078625819 |   876 ms | 14            |
|                                      ./qs 752525215234666227148243882935815808534494344867 |   862 ms | 2             |
|                                     ./qs 1176907363302702992196082606540235301008254818833 |   887 ms | 2             |
|                                     ./qs 1312307320777182609818750776451601333006712586447 |   898 ms | 6             |
|                                     ./qs 1022600555908592839382986416815888815127343047591 |   895 ms | 2             |
|                                      ./qs 737345138005776438976553921728157133363826079999 |   889 ms | 2             |
|                                      ./qs 928829170571904276190462003253670175981235014337 |   878 ms | 6             |
|                                     ./qs 1293206921424756899882083218092492755118572993271 |   876 ms | 6             |
|                                      ./qs 940904292890798064338649359033202872122982314471 |   878 ms | 2             |
|                                     ./qs 1433890410076583723177770894656259881961979414531 |   874 ms | 6             |
|                                      ./qs 867094624337834966895440662721825153547840236059 |   866 ms | 6             |
|                                     ./qs 1015972939899683184015190001764396197160280711633 |   864 ms | 14            |
|                                     ./qs 1099037565082172920112310585125409864131886147167 |   864 ms | 14            |
|                                     ./qs 1116155398315719274975719091764565154570994829387 |   861 ms | 2             |
|                                      ./qs 800583898330143795273969223507113101364974098099 |   852 ms | 2             |


| 161 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                     ./qs 1847518689783048579570805003913284129863352089359 |   905 ms | 14            |
|                                     ./qs 1515726396149791833556332112980878900646616215151 |   805 ms | 2             |
|                                     ./qs 2713396686107527619543162724690001062376437041857 |   804 ms | 30            |
|                                     ./qs 2093317853851203058627655794636125878595609596597 |   788 ms | 14            |
|                                     ./qs 2786090445192199475578749138498796170814453776023 |   800 ms | 6             |
|                                     ./qs 1913010170426838206675930950831757388475666854581 |   835 ms | 6             |
|                                     ./qs 2412644074295198772787451126548761461475060920537 |   842 ms | 6             |
|                                     ./qs 2011293986150810445237765163099765031910892222357 |   884 ms | 6             |
|                                     ./qs 2151188251086045022372396346526423593504966099753 |   891 ms | 6             |
|                                     ./qs 2454113179795826576475376399811078404514193815563 |   889 ms | 2             |
|                                     ./qs 2160410795430202545656348424722376712041312394787 |   875 ms | 2             |
|                                     ./qs 1593808652012326590806451466821857136197611320461 |   866 ms | 2             |
|                                     ./qs 2913463719927894802904526830530601050431706463651 |   880 ms | 6             |
|                                     ./qs 1814382189023967966845893789825294615730410539767 |   881 ms | 2             |
|                                     ./qs 2857539883306639018927783609286950078755597605099 |   881 ms | 6             |
|                                     ./qs 2697840988603866772114333020527749536904316962171 |   876 ms | 6             |
|                                     ./qs 1976662205276414691001790340872994444990339684901 |   869 ms | 2             |
|                                     ./qs 2155922009358978499421781792697519938302421727687 |   879 ms | 2             |
|                                     ./qs 1697301379126657546253887646611358571660497041883 |   880 ms | 26            |
|                                     ./qs 2462347375649900147831748408550634541238332172049 |   886 ms | 2             |


| 162 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                     ./qs 5603295586146808940808170328500207630215987669543 |   864 ms | 2             |
|                                     ./qs 3043596563310258598698733032921387244944188911069 |   824 ms | 6             |
|                                     ./qs 3345145078818526703346534238324930593059755633789 |   852 ms | 6             |
|                                     ./qs 4395894101750975504032214463144022167152535709199 |   908 ms | 2             |
|                                     ./qs 3940596080297848998149318230301633731302483246227 |   926 ms | 2             |
|                                     ./qs 3827384237444244110324051431874059988843124458233 |   907 ms | 14            |
|                                     ./qs 3603020916043832892367443597730080365204179069471 |   924 ms | 2             |
|                                     ./qs 3205460425643803926238303447638262268050415782069 |   910 ms | 14            |
|                                     ./qs 3983859639611287853385279955220472906211313332481 |   913 ms | 2             |
|                                     ./qs 3623491093031983201124370560542216142985768406747 |   908 ms | 6             |
|                                     ./qs 4415285338398754035131996196491315299950031175659 |   904 ms | 14            |
|                                     ./qs 4257243218754856023129490477440892786294373805161 |   891 ms | 2             |
|                                     ./qs 3441983518042663971531706813773055709331402642059 |   892 ms | 6             |
|                                     ./qs 3589379723684782872166526591657093106225898967023 |   893 ms | 6             |
|                                     ./qs 4158567099481287615595027104286130962143007052909 |   905 ms | 2             |
|                                     ./qs 3030614202458370873635470061703263096670966538067 |   901 ms | 6             |
|                                     ./qs 4972532909749087568682078958997292159208348586087 |   886 ms | 6             |
|                                     ./qs 4065674245454223549321040792225950186102855496693 |   880 ms | 2             |
|                                     ./qs 3458164680634305503397567301940267573509542879071 |   878 ms | 2             |
|                                     ./qs 5499998223031771497349151464362096367052795909869 |   910 ms | 6             |


| 163 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                     ./qs 7145574047148462179181118859146038074286301903847 |  1153 ms | 6             |
|                                    ./qs 10291873018872805193157224912439350865318249599527 |  1140 ms | 2             |
|                                    ./qs 11358617356814579185514093937339793086728009465281 |  1040 ms | 2             |
|                                     ./qs 5986012688627765848053717391522591020924039707087 |  1044 ms | 14            |
|                                     ./qs 8494876722769653938137930993620443796834150876257 |  1026 ms | 52            |
|                                    ./qs 10699668171269597214177143266452894865071402053233 |   989 ms | 6             |
|                                     ./qs 8335478580408705399241659285303196710738474569653 |  1015 ms | 2             |
|                                     ./qs 8995034129046756386801735710968145641537770396311 |  1027 ms | 2             |
|                                     ./qs 6779554017729093455564503310519224885037675387047 |  1012 ms | 6             |
|                                     ./qs 6970666313229242014401176356944325231558655926991 |  1026 ms | 6             |
|                                     ./qs 6976522648574622018994244504005846216604689561991 |  1029 ms | 6             |
|                                     ./qs 6760482089236099749092255113898825222065751693591 |  1018 ms | 6             |
|                                     ./qs 7216418845005753617864000455291461142258437791209 |  1026 ms | 6             |
|                                     ./qs 6132603506160481192017773657176433227138007838289 |  1002 ms | 2             |
|                                     ./qs 7353907868815652439302732828688025703175816030187 |  1020 ms | 2             |
|                                     ./qs 9142553616986137236454964857902458824161591614323 |  1019 ms | 2             |
|                                     ./qs 7147858174039471298070806608996290727765770196577 |  1023 ms | 2             |
|                                    ./qs 10737315505798353227972107092771550831696686847313 |  1012 ms | 2             |
